Source,Target,Weight
Stephen Dedalus,Students,5
Stephen Dedalus,Cyril Sargent,6
Stephen Dedalus,Mr. Deasy,5
Mr. Deasy,Students,4
Mr. Deasy,Stephen Dedalus,6
Stephen Dedalus,Buck Mulligan,1
Stephen Dedalus,Curran,1
Stephen Dedalus,McCann,1
Stephen Dedalus,Fred Ryan,1
Stephen Dedalus,Temple,1
Stephen Dedalus,Russell,1
Stephen Dedalus,Cousins,1
Stephen Dedalus,Bob Reynolds,1
Stephen Dedalus,Kohler,1
Stephen Dedalus,Mrs McKernan,1
Stephen Dedalus,Mr. Deasy,6
Stephen Dedalus,Buck Mulligan,1
Mr. Deasy,Stephen Dedalus,5
Stephen Dedalus,Mrs Florence MacCabe,2
Stephen Dedalus,Mr. Deasy,1
Stephen Dedalus,Aunt Sara,1
Stephen Dedalus,Stephen's Father,1
Stephen Dedalus,Walter,5
Stephen Dedalus,Richie,5
Walter,Richie,6
Stephen Dedalus,Richie,6
